route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L259D99,1,3318,"Újezd u Boskovic",1,,0,0
L259D99,1,3319,"Boskovice, aut.st.",1,134,1,0
L250D99,1,3320,"Skalice nad Svitavou, žel.st.",1,134,1,0
L258D99,1,3321,"Obora",1,134,0,0
L260D99,1,3322,"Boskovice, aut.st.",1,,1,0
L260D99,1,3323,"Sloup",1,,0,0
L260D99,1,3324,"Boskovice, aut.st.",1,,1,0
L250D99,1,3325,"Skalice nad Svitavou, žel.st.",1,135,1,0
L258D99,1,3326,"Obora",1,135,0,0
L258D99,1,3327,"Skalice nad Svitavou, žel.st.",1,,1,0
L250D99,1,3328,"Boskovice, aut.st.",1,,0,0
L250D99,1,3329,"Skalice nad Svitavou, žel.st.",1,136,1,0
L258D99,1,3330,"Obora, Hutě",1,136,0,0
L258D99,1,3331,"Boskovice, aut.st.",1,,1,0
L260D99,1,3332,"Šošůvka, Na Bráně",1,,0,0
L260D99,1,3333,"Boskovice, aut.st.",1,,1,0
L260D99,1,3334,"Šošůvka, obecní úřad",1,,0,0
L260D99,1,3335,"Boskovice, aut.st.",1,,1,0
L260D99,1,3336,"Šošůvka, obecní úřad",1,,0,0
L260D99,1,3337,"Boskovice, aut.st.",1,,1,0
L260D99,1,3338,"Lipovec, škola",1,,0,0
L260D99,1,3339,"Boskovice, aut.st.",1,,1,0
L260D99,1,3340,"Šošůvka, Na Bráně",1,,0,0
L260D99,1,3341,"Sloup",1,,1,0
L260D99,1,3342,"Šošůvka, obecní úřad",1,,0,0
L260D99,1,3343,"Boskovice, aut.st.",1,,1,0
L260D99,1,3344,"Lipovec, točna",1,,0,0
L260D99,1,3345,"Boskovice, aut.st.",1,,1,0
L260D99,1,3346,"Šošůvka, obecní úřad",1,,0,0
L261D99,1,3347,"Boskovice, aut.st.",1,,1,0
L261D99,1,3348,"Žďárná, škola",1,,0,0
L261D99,1,3349,"Boskovice, aut.st.",1,,1,0
L261D99,1,3350,"Protivanov",1,,0,0
L261D99,1,3351,"Boskovice, aut.st.",1,,1,0
L259D99,1,3352,"Újezd u Boskovic",1,,0,0
L259D99,1,3353,"Boskovice, aut.st.",1,,1,0
L261D99,1,3354,"Protivanov",1,,0,0
L261D99,1,3355,"Boskovice, aut.st.",1,,1,0
L256D99,1,3356,"Sebranice, ALPS",1,,0,0
L256D99,1,3357,"Boskovice, aut.st.",1,137,1,0
L261D99,1,3358,"Buková",1,137,0,0
L261D99,1,3359,"Boskovice, aut.st.",1,,1,0
L250D99,1,3360,"Skalice nad Svitavou, žel.st.",1,,1,0
L250D99,1,3361,"Boskovice, Kosmonautů",1,,0,0
L261D99,1,3362,"Protivanov",1,,0,0
L261D99,1,3363,"Boskovice, aut.st.",1,,1,0
L256D99,1,3364,"Sebranice, ALPS",1,,0,0
L256D99,1,3365,"Boskovice, aut.st.",1,138,1,0
L261D99,1,3366,"Protivanov",1,138,0,0
L261D99,1,3367,"Boskovice, nemocnice",1,,1,0
L257D99,1,3368,"Lysice, pohostinství",1,,0,0
L257D99,1,3369,"Boskovice, aut.st.",1,,1,0
L250D99,1,3370,"Boskovice, Kosmonautů",1,139,0,0
L250D99,1,3371,"Boskovice, Kaufland",1,139,1,0
L261D99,1,3372,"Suchý",1,,0,0
L261D99,1,3373,"Boskovice, aut.st.",1,,1,0
L261D99,1,3374,"Velenov",1,,0,0
L261D99,1,3375,"Boskovice, aut.st.",1,,1,0
L234D99,1,3376,"Blansko, aut. st.",1,,0,0
L234D99,1,3377,"Boskovice, 17. listopadu",1,,1,0
L261D99,1,3378,"Protivanov",1,,0,0
L261D99,1,3379,"Boskovice, aut.st.",1,,1,0
L261D99,1,3380,"Protivanov",1,,0,0
L261D99,1,3381,"Protivanov",1,,0,0
L261D99,1,3382,"Boskovice, nemocnice",1,,1,0
L261D99,1,3383,"Benešov",1,,0,0
L261D99,1,3384,"Protivanov",1,,0,0
L261D99,1,3385,"Boskovice, aut.st.",1,,1,0
L261D99,1,3386,"Prostějov, aut.st.",1,,0,0
L261D99,1,3387,"Boskovice, aut.st.",1,,1,0
L261D99,1,3388,"Boskovice, aut.st.",2,,1,0
L261D99,1,3389,"Prostějov, aut.st.",2,,0,0
L261D99,1,3390,"Boskovice, aut.st.",2,,1,0
L261D99,1,3391,"Prostějov, aut.st.",2,,0,0
L261D99,1,3392,"Boskovice, aut.st.",2,,1,0
L261D99,1,3393,"Protivanov",2,,0,0
L261D99,1,3394,"Boskovice, nemocnice",2,,1,0
L261D99,1,3395,"Protivanov",2,,0,0
L261D99,1,3396,"Boskovice, aut.st.",2,,1,0
L261D99,1,3397,"Prostějov, aut.st.",2,,0,0
L262D99,1,3398,"Boskovice, aut.st.",1,,1,0
L250D99,1,3399,"Skalice nad Svitavou, žel.st.",1,140,1,0
L258D99,1,3400,"Obora, Hutě",1,140,0,0
L258D99,1,3401,"Skalice nad Svitavou, žel.st.",1,,1,0
L258D99,1,3402,"Doubravice, nám.",1,,0,0
L258D99,1,3403,"Boskovice, Sušilova ZŠ II",1,,1,0
L234D99,1,3404,"Blansko, aut. st.",1,,0,0
L234D99,1,3405,"Boskovice, 17. listopadu",1,,1,0
L234D99,1,3406,"Blansko, aut. st.",1,,0,0
L234D99,1,3407,"Boskovice, aut.st.",1,,1,0
L262D99,1,3408,"Kořenec, točna",1,,0,0
L262D99,1,3409,"Boskovice, aut.st.",1,,1,0
L262D99,1,3410,"Kořenec, točna",1,,0,0
L262D99,1,3411,"Boskovice, aut.st.",1,,1,0
L262D99,1,3412,"Kořenec, točna",1,,0,0
L262D99,1,3413,"Boskovice, aut.st.",1,,1,0
L262D99,1,3414,"Kořenec, točna",1,,0,0
L262D99,2,3415,"Boskovice, aut.st.",1,,1,0
L162D99,2,3416,"Černá Hora, nám.",1,,0,0
L313D99,2,3417,"Brťov-Jeneč, obecní úřad",1,141,0,0
L235D99,2,3418,"Blansko, aut. st.",1,141,0,0
L234D99,2,3419,"Boskovice, 17. listopadu",1,,1,0
L262D99,2,3420,"Kořenec, točna",1,,0,0
L262D99,2,3421,"Boskovice, aut.st.",1,,1,0
L256D99,2,3422,"Kunštát, nám.",1,,0,0
L256D99,2,3423,"Boskovice, 17. listopadu",1,,1,0
L234D99,2,3424,"Blansko, aut. st.",1,,0,0
L230D99,2,3425,"Olomučany, točna",1,,0,0
L230D99,2,3426,"Blansko, aut. st.",1,,1,0
L234D99,2,3427,"Boskovice, aut.st.",1,,1,0
L262D99,2,3428,"Kořenec, točna",1,,0,0
L261D99,1,3429,"Boskovice, aut.st.",1,142,1,0
L162D99,1,3430,"Kuřim, železniční stanice",1,142,0,0
L162D99,1,3431,"Boskovice, aut.st.",1,,1,0
L234D99,1,3432,"Blansko, aut. st.",1,,0,0
L234D99,1,3433,"Boskovice, 17. listopadu",1,,1,0
L234D99,1,3434,"Blansko, aut. st.",1,,0,0
L235D99,1,3435,"Rašov, hostinec",1,,1,0
L235D99,1,3436,"Blansko, aut. st.",1,,0,0
L234D99,1,3437,"Boskovice, 17. listopadu",1,,1,0
L234D99,1,3438,"Blansko, aut. st.",1,,0,0
L234D99,1,3439,"Boskovice, 17. listopadu",1,,1,0
L262D99,1,3440,"Kořenec, točna",1,,0,0
L262D99,1,3441,"Benešov",1,,1,0
L272D99,1,3442,"Letovice, náměstí",1,,1,1
L272D99,1,3443,"Velké Opatovice, aut.st.",1,,0,1
L272D99,1,3444,"Letovice, u školy",1,,1,1
L272D99,1,3445,"Velké Opatovice, aut.st.",1,,0,1
L272D99,1,3446,"Letovice, u školy",1,,1,1
L272D99,1,3447,"Velké Opatovice, aut.st.",1,,0,1
L271D99,1,3448,"Letovice, Kochov",1,,1,1
L271D99,1,3449,"Velké Opatovice, aut.st.",1,,0,1
L271D99,1,3450,"Letovice, Tyršova parkoviště",1,,1,1
L271D99,1,3451,"Velké Opatovice, aut.st.",1,,0,1
L271D99,1,3452,"Letovice, železniční stanice",1,,1,1
L272D99,1,3453,"Letovice, u školy",1,,1,1
L272D99,1,3454,"Velké Opatovice, aut.st.",1,,0,1
L271D99,1,3455,"Letovice, náměstí",1,,1,1
L272D99,1,3456,"Velké Opatovice, aut.st.",1,,0,1
L271D99,1,3457,"Letovice, náměstí",1,,1,1
L271D99,1,3458,"Velké Opatovice, aut.st.",1,,0,1
L271D99,1,3459,"Letovice, Tyršova parkoviště",1,,1,1
L271D99,1,3460,"Velké Opatovice, aut.st.",1,,0,1
L251D99,1,3461,"Jevíčko, nám.",1,,0,0
